suite	id	result
required_bits	required_p11a_qsynth_ea_csv_125_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_125_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_125_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_125_bits63_48	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_13_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_13_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_13_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_13_bits63_48	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_134_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_134_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_134_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_134_bits63_48	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_210_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_210_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_210_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_210_bits63_48	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_234_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_234_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_234_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_234_bits63_48	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_260_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_260_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_260_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_260_bits63_48	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_294_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_294_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_294_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_294_bits63_48	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_369_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_369_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_369_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_369_bits63_48	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_481_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_481_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_481_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_481_bits63_48	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_486_bits15_0	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_486_bits31_16	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_486_bits47_32	UNKNOWN
required_bits	required_p11a_qsynth_ea_csv_486_bits63_48	UNKNOWN
