dataset	line	retained_pass	required_id	edge_source_ordinary_id	edge_ordinary_p7e_id	edge_p7e_retained_id	diagnostic_id	source_hash	ordinary_hash	after_p7e_hash	retained_hash	best_hash	required_pair_hash	required_residual_hash	chain_hash
loki_tiny.csv	1841	p7e	required_p7e_loki_tiny_csv_1841	edge0_source_ordinary_loki_tiny_csv_1841	edge1_ordinary_p7e_loki_tiny_csv_1841	edge2_p7e_loki_tiny_csv_1841	diagnostic_p9l_base_loki_tiny_csv_1841	64012ec646a4a584	da4ca7dfde7a6acd	3d54a8dc81ba06e8	3d54a8dc81ba06e8	536a9b6c358c7562	351b6d51027d42ad	c9dd4fd316e5cfa6	c33870b9432c252f
loki_tiny.csv	2319	p9l	required_p9l_loki_tiny_csv_2319	edge0_source_ordinary_loki_tiny_csv_2319	edge1_ordinary_p7e_loki_tiny_csv_2319	edge2_p9l_loki_tiny_csv_2319	diagnostic_p9l_base_loki_tiny_csv_2319	600267fd1ddc2900	02a9072c164e073d	02a9072c164e073d	536a9b6c358c7562	536a9b6c358c7562	c7324a22e620de53	0925f5e514cf6df8	68c4eaed4fe02558
loki_tiny.csv	2499	p9l	required_p9l_loki_tiny_csv_2499	edge0_source_ordinary_loki_tiny_csv_2499	edge1_ordinary_p7e_loki_tiny_csv_2499	edge2_p9l_loki_tiny_csv_2499	diagnostic_p9l_base_loki_tiny_csv_2499	1e1abe7221b78248	6a058e4ea4798759	6a058e4ea4798759	536a9b6c358c7562	536a9b6c358c7562	f18ccba1f54189e7	5597fbbb01b8e5a0	c20a0cea8acb74f9
loki_tiny.csv	2631	p9l	required_p9l_loki_tiny_csv_2631	edge0_source_ordinary_loki_tiny_csv_2631	edge1_ordinary_p7e_loki_tiny_csv_2631	edge2_p9l_loki_tiny_csv_2631	diagnostic_p9l_base_loki_tiny_csv_2631	347f1fe67abb77f2	02a9072c164e073d	02a9072c164e073d	536a9b6c358c7562	536a9b6c358c7562	d29a2d79efeb823d	7126a2d43e839e5c	6aea3033c70b378d
loki_tiny.csv	2729	p9l	required_p9l_loki_tiny_csv_2729	edge0_source_ordinary_loki_tiny_csv_2729	edge1_ordinary_p7e_loki_tiny_csv_2729	edge2_p9l_loki_tiny_csv_2729	diagnostic_p9l_base_loki_tiny_csv_2729	3cca663f7b6dcaf6	19bb0c861144fa16	19bb0c861144fa16	536a9b6c358c7562	536a9b6c358c7562	7373551289465fff	564dad6e6d408fbc	4bc74d4c76100ecf
loki_tiny.csv	2772	p7e	required_p7e_loki_tiny_csv_2772	edge0_source_ordinary_loki_tiny_csv_2772	edge1_ordinary_p7e_loki_tiny_csv_2772	edge2_p7e_loki_tiny_csv_2772	diagnostic_p9l_base_loki_tiny_csv_2772	965150440b25d8e6	ee09dc9a0032fdc3	3d54a8dc81ba06e8	3d54a8dc81ba06e8	536a9b6c358c7562	3471a3891bf0d42f	5a28a02470e47ac0	23f3916884d0d445
loki_tiny.csv	2929	p9l	required_p9l_loki_tiny_csv_2929	edge0_source_ordinary_loki_tiny_csv_2929	edge1_ordinary_p7e_loki_tiny_csv_2929	edge2_p9l_loki_tiny_csv_2929	diagnostic_p9l_base_loki_tiny_csv_2929	c34a655a2ba5cefd	a579aa5fdee94edb	a579aa5fdee94edb	536a9b6c358c7562	536a9b6c358c7562	5fbf3ec73346792e	1ff36ddc1e153a61	15c1618b18b11cce
loki_tiny.csv	3312	p9l	required_p9l_loki_tiny_csv_3312	edge0_source_ordinary_loki_tiny_csv_3312	edge1_ordinary_p7e_loki_tiny_csv_3312	edge2_p9l_loki_tiny_csv_3312	diagnostic_p9l_base_loki_tiny_csv_3312	5c2a12e11418d78a	3c75bc9ca19eeef4	3c75bc9ca19eeef4	536a9b6c358c7562	536a9b6c358c7562	b1f25029beecf8b5	b3322d6e24be9562	22b92889e512eba2
loki_tiny.csv	3424	p9l	required_p9l_loki_tiny_csv_3424	edge0_source_ordinary_loki_tiny_csv_3424	edge1_ordinary_p7e_loki_tiny_csv_3424	edge2_p9l_loki_tiny_csv_3424	diagnostic_p9l_base_loki_tiny_csv_3424	2d804cc05e4bf49d	4bd336b6e4d4bbec	4bd336b6e4d4bbec	536a9b6c358c7562	536a9b6c358c7562	7a2920d68bbee2d0	71ae33fb0cdb2aa7	846069b89543ba65
loki_tiny.csv	3894	p9l	required_p9l_loki_tiny_csv_3894	edge0_source_ordinary_loki_tiny_csv_3894	edge1_ordinary_p7e_loki_tiny_csv_3894	edge2_p9l_loki_tiny_csv_3894	diagnostic_p9l_base_loki_tiny_csv_3894	2aaa2388af75a554	bbca1d7dfeb0a104	bbca1d7dfeb0a104	536a9b6c358c7562	536a9b6c358c7562	0681592326a1badb	0f50050c2976e82e	b7e67208a1fea366
loki_tiny.csv	3919	p9l	required_p9l_loki_tiny_csv_3919	edge0_source_ordinary_loki_tiny_csv_3919	edge1_ordinary_p7e_loki_tiny_csv_3919	edge2_p9l_loki_tiny_csv_3919	diagnostic_p9l_base_loki_tiny_csv_3919	d7c76e62b6d6e1e8	90fc4760dbd8d094	90fc4760dbd8d094	536a9b6c358c7562	536a9b6c358c7562	60a95fb7ea6ab621	71830a01c3aca2b2	2aa83291f71eeb19
loki_tiny.csv	3928	p7e	required_p7e_loki_tiny_csv_3928	edge0_source_ordinary_loki_tiny_csv_3928	edge1_ordinary_p7e_loki_tiny_csv_3928	edge2_p7e_loki_tiny_csv_3928	diagnostic_p9l_base_loki_tiny_csv_3928	fc24849cb5ec9666	89d5747db5e42801	3d54a8dc81ba06e8	3d54a8dc81ba06e8	536a9b6c358c7562	528e6902ecb36b3b	247c6fa1e756a2ac	b6fbd79594edf355
loki_tiny.csv	3979	p7e	required_p7e_loki_tiny_csv_3979	edge0_source_ordinary_loki_tiny_csv_3979	edge1_ordinary_p7e_loki_tiny_csv_3979	edge2_p7e_loki_tiny_csv_3979	diagnostic_p9l_base_loki_tiny_csv_3979	e28f4276654333b3	a38bad52c39406cc	3d54a8dc81ba06e8	3d54a8dc81ba06e8	536a9b6c358c7562	ac14efec2ce417ba	bc58601c43598fad	d303e1512fdff067
loki_tiny.csv	4081	p9l	required_p9l_loki_tiny_csv_4081	edge0_source_ordinary_loki_tiny_csv_4081	edge1_ordinary_p7e_loki_tiny_csv_4081	edge2_p9l_loki_tiny_csv_4081	diagnostic_p9l_base_loki_tiny_csv_4081	fa72b3d68c43fd13	6611679f2ca405b3	6611679f2ca405b3	536a9b6c358c7562	536a9b6c358c7562	65ce940036eaf260	375e2f12ebf484a3	715570b2877be6cd
