suite	id	result	method
diagnostic	diagnostic_p11a_qsynth_ea_csv_125	UNSAT	direct
diagnostic	diagnostic_p11a_qsynth_ea_csv_13	UNKNOWN	bit-fallback
diagnostic	diagnostic_p11a_qsynth_ea_csv_134	UNSAT	direct
diagnostic	diagnostic_p11a_qsynth_ea_csv_210	UNKNOWN	bit-fallback
diagnostic	diagnostic_p11a_qsynth_ea_csv_234	UNKNOWN	bit-fallback
diagnostic	diagnostic_p11a_qsynth_ea_csv_260	UNSAT	bit-fallback
diagnostic	diagnostic_p11a_qsynth_ea_csv_294	UNKNOWN	bit-fallback
diagnostic	diagnostic_p11a_qsynth_ea_csv_369	UNKNOWN	bit-fallback
diagnostic	diagnostic_p11a_qsynth_ea_csv_481	UNKNOWN	bit-fallback
diagnostic	diagnostic_p11a_qsynth_ea_csv_486	UNKNOWN	bit-fallback
diagnostic	diagnostic_p11a_qsynth_ea_csv_53	UNKNOWN	bit-fallback
diagnostic	diagnostic_p11a_qsynth_ea_csv_77	UNSAT	bit-fallback
diagnostic	diagnostic_p11b_qsynth_ea_csv_114	UNSAT	direct
diagnostic	diagnostic_p11b_qsynth_ea_csv_139	UNKNOWN	bit-fallback
diagnostic	diagnostic_p11b_qsynth_ea_csv_25	UNSAT	bit-fallback
diagnostic	diagnostic_p11b_qsynth_ea_csv_423	UNKNOWN	bit-fallback
diagnostic	diagnostic_p7e_qsynth_ea_csv_249	UNKNOWN	bit-fallback
diagnostic	diagnostic_p7e_qsynth_ea_csv_309	UNSAT	direct
diagnostic	diagnostic_p7e_qsynth_ea_csv_392	UNKNOWN	bit-fallback
diagnostic	diagnostic_p9l_base_loki_tiny_csv_11431	UNSAT	bit-fallback
diagnostic	diagnostic_p9l_base_loki_tiny_csv_12529	UNKNOWN	bit-fallback
diagnostic	diagnostic_p9l_base_loki_tiny_csv_12689	UNKNOWN	bit-fallback
diagnostic	diagnostic_p9l_base_loki_tiny_csv_13078	UNSAT	direct
diagnostic	diagnostic_p9l_base_loki_tiny_csv_13174	UNSAT	direct
diagnostic	diagnostic_p9l_base_loki_tiny_csv_13238	UNSAT	direct
diagnostic	diagnostic_p9l_base_loki_tiny_csv_13752	UNSAT	direct
diagnostic	diagnostic_p9l_base_loki_tiny_csv_14143	UNSAT	direct
diagnostic	diagnostic_p9l_base_loki_tiny_csv_14221	UNSAT	direct
diagnostic	diagnostic_p9l_base_loki_tiny_csv_14369	UNSAT	direct
diagnostic	diagnostic_p9l_base_loki_tiny_csv_14497	UNSAT	direct
