dataset	line	edge_index	edge_id	from_stage	to_stage	left_hash	right_hash	pair_hash	residual_hash	left_nodes	right_nodes	left	right
loki_tiny.csv	1841	0	edge0_source_ordinary_loki_tiny_csv_1841	source	ordinary	64012ec646a4a584	da4ca7dfde7a6acd	b2d8a8558bef06e4	8ac9bd7de79722d7	22	30	~ (v0 + v1) & (-0x1) * (~ (v0 + v1) & (-0x1) * ~ (v0 + v1)) ^ ~ (v1 & ~ v1)	v0 + v1 + (-0x1) * (v0 + v1 & v0 + v1 + 0x1) + (v0 + v1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1 + (v0 + v1 & v0 + v1 + 0x1))
loki_tiny.csv	1841	1	edge1_ordinary_p7e_loki_tiny_csv_1841	ordinary	p7e	da4ca7dfde7a6acd	3d54a8dc81ba06e8	464afe30b5adc3bc	023e4e2e6bc85557	30	5	v0 + v1 + (-0x1) * (v0 + v1 & v0 + v1 + 0x1) + (v0 + v1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1 + (v0 + v1 & v0 + v1 + 0x1))	(v0) + (v1)
loki_tiny.csv	1841	2	edge2_p7e_loki_tiny_csv_1841	p7e	retained	3d54a8dc81ba06e8	3d54a8dc81ba06e8	20f211d397d25cbd	e410c4e78824d2e6	5	5	(v0) + (v1)	(v0) + (v1)
loki_tiny.csv	2319	0	edge0_source_ordinary_loki_tiny_csv_2319	source	ordinary	600267fd1ddc2900	02a9072c164e073d	0471c245ce1c201c	cd96e7b360c249ff	24	9	~ (v0 & ~ (~ (v1 | ~ v1))) + ((-0x1) * v1 & ~ (v1 & v1 + v1)) ^ (v1 ^ ~ v1)	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)
loki_tiny.csv	2319	1	edge1_ordinary_p7e_loki_tiny_csv_2319	ordinary	p7e	02a9072c164e073d	02a9072c164e073d	099397ff1fc43a21	2f425ad89b50f33a	9	9	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)
loki_tiny.csv	2319	2	edge2_p9l_loki_tiny_csv_2319	p7e	retained	02a9072c164e073d	536a9b6c358c7562	3bdf73882802f8ee	c01bbc68560eab85	9	3	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1
loki_tiny.csv	2499	0	edge0_source_ordinary_loki_tiny_csv_2499	source	ordinary	1e1abe7221b78248	6a058e4ea4798759	2313d221d6cb58f0	e2ee451ecd3663e3	36	9	(-0x1) * (~ (~ ((-0x1) * v0 & ~ (v0 & (-0x1) * (v0 + v0))) + ((-0x1) * v1 + (v1 + v1)) ^ (-0x1) * ((-0x1) * v1 + (v1 + v1))) ^ (-0x1) * ((-0x1) * v1 + (v1 + v1)))	v0 + v1 + (v0 & (-0x2) * v0 & (-0x1) * v0)
loki_tiny.csv	2499	1	edge1_ordinary_p7e_loki_tiny_csv_2499	ordinary	p7e	6a058e4ea4798759	6a058e4ea4798759	2cf103bcec2871b1	349920bfd61cb82a	9	9	v0 + v1 + (v0 & (-0x2) * v0 & (-0x1) * v0)	v0 + v1 + (v0 & (-0x2) * v0 & (-0x1) * v0)
loki_tiny.csv	2499	2	edge2_p9l_loki_tiny_csv_2499	p7e	retained	6a058e4ea4798759	536a9b6c358c7562	28bd0e7ba84c174a	661e4f54ea7811b1	9	3	v0 + v1 + (v0 & (-0x2) * v0 & (-0x1) * v0)	v0 + v1
loki_tiny.csv	2631	0	edge0_source_ordinary_loki_tiny_csv_2631	source	ordinary	347f1fe67abb77f2	02a9072c164e073d	8164797fb27d61fe	a32d0a022c68be0b	37	9	v0 + ~ (~ (~ (((-0x1) * v1 & ~ (v1 & v1 + v1)) + ~ ((-0x1) * v1 | ~ (v1 & v1 + v1)) & ~ (v1 & v1 + v1))) + (v1 ^ ~ v1))	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)
loki_tiny.csv	2631	1	edge1_ordinary_p7e_loki_tiny_csv_2631	ordinary	p7e	02a9072c164e073d	02a9072c164e073d	099397ff1fc43a21	2f425ad89b50f33a	9	9	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)
loki_tiny.csv	2631	2	edge2_p9l_loki_tiny_csv_2631	p7e	retained	02a9072c164e073d	536a9b6c358c7562	3bdf73882802f8ee	c01bbc68560eab85	9	3	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1
loki_tiny.csv	2729	0	edge0_source_ordinary_loki_tiny_csv_2729	source	ordinary	3cca663f7b6dcaf6	19bb0c861144fa16	613f834dac245623	9f4663234109a4d8	67	9	~ (~ v0 + ((-0x1) * ~ ((-0x1) * v0 ^ ((-0x1) * v0 ^ ~ ((-0x1) * v0 + (v0 + v1)))) & ~ (~ ((-0x1) * v0 ^ ((-0x1) * v0 ^ ~ ((-0x1) * v0 + (v0 + v1)))) & (-0x1) * ~ ((-0x1) * v0 ^ ((-0x1) * v0 ^ ~ ((-0x1) * v0 + (v0 + v1)))) + (-0x1) * ~ ((-0x1) * v0 ^ ((-0x1) * v0 ^ ~ ((-0x1) * v0 + (v0 + v1)))))))	v0 + v1 + (v1 & (-0x2) * v1 & (-0x1) * v1)
loki_tiny.csv	2729	1	edge1_ordinary_p7e_loki_tiny_csv_2729	ordinary	p7e	19bb0c861144fa16	19bb0c861144fa16	e4d3586aeeeda039	92c73b3b8d0d4582	9	9	v0 + v1 + (v1 & (-0x2) * v1 & (-0x1) * v1)	v0 + v1 + (v1 & (-0x2) * v1 & (-0x1) * v1)
loki_tiny.csv	2729	2	edge2_p9l_loki_tiny_csv_2729	p7e	retained	19bb0c861144fa16	536a9b6c358c7562	6d4965fc1156b8d9	14ce086323796156	9	3	v0 + v1 + (v1 & (-0x2) * v1 & (-0x1) * v1)	v0 + v1
loki_tiny.csv	2772	0	edge0_source_ordinary_loki_tiny_csv_2772	source	ordinary	965150440b25d8e6	ee09dc9a0032fdc3	75ab88b64b9d758c	8a8ef8a5c832029b	25	24	(-0x1) * ((~ ((~ ((-0x1) * (v0 + v1 ^ (-0x1) * v1)) ^ (-0x1) * v1) ^ (-0x1) * v1) ^ (-0x1) * v1) ^ (-0x1) * v1) ^ (-0x1) * v1	v0 + (-0x2) * ((-0x1) * v1 & v0 + v1) + (-0x2) * ((-0x1) * v1 & v0 + (-0x2) * ((-0x1) * v1 & v0 + v1)) + (-0x1) * v1
loki_tiny.csv	2772	1	edge1_ordinary_p7e_loki_tiny_csv_2772	ordinary	p7e	ee09dc9a0032fdc3	3d54a8dc81ba06e8	67c784e50d827460	03656aa54c214ecb	24	5	v0 + (-0x2) * ((-0x1) * v1 & v0 + v1) + (-0x2) * ((-0x1) * v1 & v0 + (-0x2) * ((-0x1) * v1 & v0 + v1)) + (-0x1) * v1	(v0) + (v1)
loki_tiny.csv	2772	2	edge2_p7e_loki_tiny_csv_2772	p7e	retained	3d54a8dc81ba06e8	3d54a8dc81ba06e8	20f211d397d25cbd	e410c4e78824d2e6	5	5	(v0) + (v1)	(v0) + (v1)
loki_tiny.csv	2929	0	edge0_source_ordinary_loki_tiny_csv_2929	source	ordinary	c34a655a2ba5cefd	a579aa5fdee94edb	27294c36cb09ef23	f29b7317b123eb98	90	22	~ ((-0x1) * v0 + ~ (~ (v0 | ~ v0) | ((~ (v0 | ~ v0) & v1 | v1) | v1)) & ((-0x1) * v0 + ~ (~ (v0 | ~ v0) | ((~ (v0 | ~ v0) & v1 | v1) | v1)) & (-0x1) * ((-0x1) * v0 + ~ (~ (v0 | ~ v0) | ((~ (v0 | ~ v0) & v1 | v1) | v1)) & (-0x1) * ((-0x1) * v0 + ~ (~ (v0 | ~ v0) | ((~ (v0 | ~ v0) & v1 | v1) | v1))))))	(-0x1) + (-0x1) * ((-0x1) * (v0 + v1 + 0x1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1) & (-0x1) + (-0x1) * v0 + (-0x1) * v1)
loki_tiny.csv	2929	1	edge1_ordinary_p7e_loki_tiny_csv_2929	ordinary	p7e	a579aa5fdee94edb	a579aa5fdee94edb	3a7f06a5e53709ad	6f943d012dff556e	22	22	(-0x1) + (-0x1) * ((-0x1) * (v0 + v1 + 0x1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1) & (-0x1) + (-0x1) * v0 + (-0x1) * v1)	(-0x1) + (-0x1) * ((-0x1) * (v0 + v1 + 0x1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1) & (-0x1) + (-0x1) * v0 + (-0x1) * v1)
loki_tiny.csv	2929	2	edge2_p9l_loki_tiny_csv_2929	p7e	retained	a579aa5fdee94edb	536a9b6c358c7562	279dd53eecf50f64	80b67d2e1450caef	22	3	(-0x1) + (-0x1) * ((-0x1) * (v0 + v1 + 0x1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1) & (-0x1) + (-0x1) * v0 + (-0x1) * v1)	v0 + v1
loki_tiny.csv	3312	0	edge0_source_ordinary_loki_tiny_csv_3312	source	ordinary	5c2a12e11418d78a	3c75bc9ca19eeef4	d632cf8c7c3c387b	2dad8b1fc5291114	43	18	(v0 | ~ v0) ^ ~ (~ ((-0x1) * ~ (~ ((v0 & ~ v0) + (v0 + v1 | v1) | (v0 + v1 | v1)) | ~ (v0 + v1)) & (v0 + v1) + (v0 + v1)) & v0 + v1)	v0 + v1 + (-0x1) * (v0 + v1 & 0x2 * v0 + 0x2 * v1 & (-0x1) * v0 + (-0x1) * v1)
loki_tiny.csv	3312	1	edge1_ordinary_p7e_loki_tiny_csv_3312	ordinary	p7e	3c75bc9ca19eeef4	3c75bc9ca19eeef4	71ade93367589bab	495ea2162f642d64	18	18	v0 + v1 + (-0x1) * (v0 + v1 & 0x2 * v0 + 0x2 * v1 & (-0x1) * v0 + (-0x1) * v1)	v0 + v1 + (-0x1) * (v0 + v1 & 0x2 * v0 + 0x2 * v1 & (-0x1) * v0 + (-0x1) * v1)
loki_tiny.csv	3312	2	edge2_p9l_loki_tiny_csv_3312	p7e	retained	3c75bc9ca19eeef4	536a9b6c358c7562	40657d66161196d7	963ba980dcdd8c32	18	3	v0 + v1 + (-0x1) * (v0 + v1 & 0x2 * v0 + 0x2 * v1 & (-0x1) * v0 + (-0x1) * v1)	v0 + v1
loki_tiny.csv	3424	0	edge0_source_ordinary_loki_tiny_csv_3424	source	ordinary	2d804cc05e4bf49d	4bd336b6e4d4bbec	acf558d71d841262	6c7889bcfd10da83	31	16	(-0x1) * (v0 ^ (v0 ^ ((-0x1) * v0 ^ ((-0x1) * v0 ^ (-0x1) * v0 + ~ (~ ((-0x1) * v1) | v1 & (v1 ^ ~ (v1 ^ ~ v1 + (-0x1) * v1)))))))	v0 + v1 + (-0x1) * (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1)
loki_tiny.csv	3424	1	edge1_ordinary_p7e_loki_tiny_csv_3424	ordinary	p7e	4bd336b6e4d4bbec	4bd336b6e4d4bbec	26f964bef451204b	a6b52815475ea934	16	16	v0 + v1 + (-0x1) * (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1)	v0 + v1 + (-0x1) * (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1)
loki_tiny.csv	3424	2	edge2_p9l_loki_tiny_csv_3424	p7e	retained	4bd336b6e4d4bbec	536a9b6c358c7562	eac83fff09c472a7	83f1b82e5fb84122	16	3	v0 + v1 + (-0x1) * (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1)	v0 + v1
loki_tiny.csv	3894	0	edge0_source_ordinary_loki_tiny_csv_3894	source	ordinary	2aaa2388af75a554	bbca1d7dfeb0a104	0483e503acb5cae9	01e65f5748507838	81	13	v0 + ((-0x1) * v0 + (~ (~ (~ (~ ((-0x1) * v0 | (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) + (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) ^ (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) ^ ~ ((~ (~ (~ ((-0x1) * v0 | (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) + (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) ^ (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) | (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) ^ (-0x1) * ((-0x1) * v0 + (-0x1) * v1))) ^ (-0x1) * ((-0x1) * v0 + (-0x1) * v1)))	v0 + v1 & v0 + (-0x1) + ((-0x1) * v0 & v0 + v1)
loki_tiny.csv	3894	1	edge1_ordinary_p7e_loki_tiny_csv_3894	ordinary	p7e	bbca1d7dfeb0a104	bbca1d7dfeb0a104	8f5e14a739cf2acd	ea97691ef19232e6	13	13	v0 + v1 & v0 + (-0x1) + ((-0x1) * v0 & v0 + v1)	v0 + v1 & v0 + (-0x1) + ((-0x1) * v0 & v0 + v1)
loki_tiny.csv	3894	2	edge2_p9l_loki_tiny_csv_3894	p7e	retained	bbca1d7dfeb0a104	536a9b6c358c7562	8209d73fa740e88b	3a97ce375c509c3c	13	3	v0 + v1 & v0 + (-0x1) + ((-0x1) * v0 & v0 + v1)	v0 + v1
