suite	id	result	method
local	edge0_source_ordinary_loki_tiny_csv_11431	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_12529	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_12689	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_13078	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_13174	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_13238	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_13752	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_14143	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_14221	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_14369	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_14497	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_14545	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_16073	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_17380	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_17524	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_17578	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_17633	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_17818	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_17825	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_17972	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_17980	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_17981	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_18104	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_18200	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_1841	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_18437	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_18523	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_18631	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_18685	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_18731	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_19290	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_19299	UNSAT	direct
local	edge0_source_ordinary_loki_tiny_csv_19329	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_19565	UNKNOWN	bit-fallback
local	edge0_source_ordinary_loki_tiny_csv_19597	UNSAT	direct
