kind	hash	occurrences	lines
chain	0055eac02f6e59d1	1	qsynth_ea.csv:369
chain	0788ec04323993b1	1	qsynth_ea.csv:77
chain	07f51f89e8903e80	1	qsynth_ea.csv:260
chain	15cae5861cbfd672	1	qsynth_ea.csv:25
chain	243742e9bba115a3	1	qsynth_ea.csv:249
chain	3940914e927598b2	1	qsynth_ea.csv:486
chain	6d801c6efed16637	1	qsynth_ea.csv:125
chain	779529b1fca7c7c7	1	qsynth_ea.csv:392
chain	93b20a3767f6487f	1	qsynth_ea.csv:210
chain	977fd0271d1149f8	1	qsynth_ea.csv:294
chain	ac11e196a365ee71	1	qsynth_ea.csv:134
chain	c26e0f8ece226531	1	qsynth_ea.csv:139
chain	c35f90e6c0563ca8	1	qsynth_ea.csv:53
chain	ceb621486364f0a7	1	qsynth_ea.csv:481
chain	eaa2e1f8530e4615	1	qsynth_ea.csv:13
chain	ed8d7ba3971d2b14	1	qsynth_ea.csv:234
chain	fbee527d4e4baa11	1	qsynth_ea.csv:423
pair	02883af4b9da1567	1	qsynth_ea.csv:53
pair	04dcd6b6408fbade	1	qsynth_ea.csv:294
pair	15d47aa66c5f16fb	1	qsynth_ea.csv:369
pair	20cf6b8a809aa285	1	qsynth_ea.csv:481
pair	505064a1ee835af3	1	qsynth_ea.csv:77
pair	5e6d8a0d24ec43cf	1	qsynth_ea.csv:210
pair	75848c70c7cd41df	1	qsynth_ea.csv:486
pair	77f49d9addf63c55	1	qsynth_ea.csv:134
pair	7a496efb24cbcb2c	1	qsynth_ea.csv:125
pair	834e2c6b90b58ad4	1	qsynth_ea.csv:392
pair	8e2d26ed841e4083	1	qsynth_ea.csv:13
pair	c90b6120753b5a53	1	qsynth_ea.csv:423
pair	c994b3d67e7ae3fd	1	qsynth_ea.csv:249
pair	cd6c170188d94099	1	qsynth_ea.csv:139
pair	dea3e151b5914bc6	1	qsynth_ea.csv:234
pair	e8e7b25c08de7c9f	1	qsynth_ea.csv:260
pair	eb1b6224d95330d0	1	qsynth_ea.csv:25
residual	1174c37cbe978dc4	1	qsynth_ea.csv:77
residual	18f529d040fcbf3f	1	qsynth_ea.csv:392
residual	21ced2281e350401	1	qsynth_ea.csv:234
residual	3a92d2bf99223ee2	1	qsynth_ea.csv:210
residual	4afedf94e04eabdc	1	qsynth_ea.csv:481
residual	532d0279928f6cb4	1	qsynth_ea.csv:139
residual	566188e37fca7e6d	1	qsynth_ea.csv:25
residual	5be23ee18259cbd0	1	qsynth_ea.csv:260
residual	60cc2d344479ac64	1	qsynth_ea.csv:249
residual	6f32c7862cdc36f1	1	qsynth_ea.csv:125
residual	94ea8d8cd16213aa	1	qsynth_ea.csv:423
residual	a3431bc33a16364c	1	qsynth_ea.csv:369
residual	ad563a2c29234bdf	1	qsynth_ea.csv:294
residual	c5a4e9a2c0e8a2cc	1	qsynth_ea.csv:53
residual	d0635b99af17d734	1	qsynth_ea.csv:486
residual	e639cfe6bb42d318	1	qsynth_ea.csv:134
residual	f770897b0aa955be	1	qsynth_ea.csv:13
