dataset	line	retained_pass	best_pass	required_id	diagnostic_id	source_nodes	ordinary_nodes	after_p7e_nodes	retained_nodes	best_nodes	source_hash	ordinary_hash	after_p7e_hash	retained_hash	best_hash	required_pair_hash	diagnostic_pair_hash	source	ordinary	after_p7e	retained_candidate	best_candidate
loki_tiny.csv	1841	p7e	p9l_base	required_p7e_loki_tiny_csv_1841	diagnostic_p9l_base_loki_tiny_csv_1841	22	30	5	5	3	64012ec646a4a584	da4ca7dfde7a6acd	3d54a8dc81ba06e8	3d54a8dc81ba06e8	536a9b6c358c7562	351b6d51027d42ad	818b0f2f02b752c2	~ (v0 + v1) & (-0x1) * (~ (v0 + v1) & (-0x1) * ~ (v0 + v1)) ^ ~ (v1 & ~ v1)	v0 + v1 + (-0x1) * (v0 + v1 & v0 + v1 + 0x1) + (v0 + v1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1 + (v0 + v1 & v0 + v1 + 0x1))	(v0) + (v1)	(v0) + (v1)	v0 + v1
loki_tiny.csv	2319	p9l	p9l_base	required_p9l_loki_tiny_csv_2319	diagnostic_p9l_base_loki_tiny_csv_2319	24	9	9	3	3	600267fd1ddc2900	02a9072c164e073d	02a9072c164e073d	536a9b6c358c7562	536a9b6c358c7562	c7324a22e620de53	3bdf73882802f8ee	~ (v0 & ~ (~ (v1 | ~ v1))) + ((-0x1) * v1 & ~ (v1 & v1 + v1)) ^ (v1 ^ ~ v1)	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1	v0 + v1
loki_tiny.csv	2499	p9l	p9l_base	required_p9l_loki_tiny_csv_2499	diagnostic_p9l_base_loki_tiny_csv_2499	36	9	9	3	3	1e1abe7221b78248	6a058e4ea4798759	6a058e4ea4798759	536a9b6c358c7562	536a9b6c358c7562	f18ccba1f54189e7	28bd0e7ba84c174a	(-0x1) * (~ (~ ((-0x1) * v0 & ~ (v0 & (-0x1) * (v0 + v0))) + ((-0x1) * v1 + (v1 + v1)) ^ (-0x1) * ((-0x1) * v1 + (v1 + v1))) ^ (-0x1) * ((-0x1) * v1 + (v1 + v1)))	v0 + v1 + (v0 & (-0x2) * v0 & (-0x1) * v0)	v0 + v1 + (v0 & (-0x2) * v0 & (-0x1) * v0)	v0 + v1	v0 + v1
loki_tiny.csv	2631	p9l	p9l_base	required_p9l_loki_tiny_csv_2631	diagnostic_p9l_base_loki_tiny_csv_2631	37	9	9	3	3	347f1fe67abb77f2	02a9072c164e073d	02a9072c164e073d	536a9b6c358c7562	536a9b6c358c7562	d29a2d79efeb823d	3bdf73882802f8ee	v0 + ~ (~ (~ (((-0x1) * v1 & ~ (v1 & v1 + v1)) + ~ ((-0x1) * v1 | ~ (v1 & v1 + v1)) & ~ (v1 & v1 + v1))) + (v1 ^ ~ v1))	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1 + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1	v0 + v1
loki_tiny.csv	2729	p9l	p9l_base	required_p9l_loki_tiny_csv_2729	diagnostic_p9l_base_loki_tiny_csv_2729	67	9	9	3	3	3cca663f7b6dcaf6	19bb0c861144fa16	19bb0c861144fa16	536a9b6c358c7562	536a9b6c358c7562	7373551289465fff	6d4965fc1156b8d9	~ (~ v0 + ((-0x1) * ~ ((-0x1) * v0 ^ ((-0x1) * v0 ^ ~ ((-0x1) * v0 + (v0 + v1)))) & ~ (~ ((-0x1) * v0 ^ ((-0x1) * v0 ^ ~ ((-0x1) * v0 + (v0 + v1)))) & (-0x1) * ~ ((-0x1) * v0 ^ ((-0x1) * v0 ^ ~ ((-0x1) * v0 + (v0 + v1)))) + (-0x1) * ~ ((-0x1) * v0 ^ ((-0x1) * v0 ^ ~ ((-0x1) * v0 + (v0 + v1)))))))	v0 + v1 + (v1 & (-0x2) * v1 & (-0x1) * v1)	v0 + v1 + (v1 & (-0x2) * v1 & (-0x1) * v1)	v0 + v1	v0 + v1
loki_tiny.csv	2772	p7e	p9l_base	required_p7e_loki_tiny_csv_2772	diagnostic_p9l_base_loki_tiny_csv_2772	25	24	5	5	3	965150440b25d8e6	ee09dc9a0032fdc3	3d54a8dc81ba06e8	3d54a8dc81ba06e8	536a9b6c358c7562	3471a3891bf0d42f	f557ec1c61a4bbb8	(-0x1) * ((~ ((~ ((-0x1) * (v0 + v1 ^ (-0x1) * v1)) ^ (-0x1) * v1) ^ (-0x1) * v1) ^ (-0x1) * v1) ^ (-0x1) * v1) ^ (-0x1) * v1	v0 + (-0x2) * ((-0x1) * v1 & v0 + v1) + (-0x2) * ((-0x1) * v1 & v0 + (-0x2) * ((-0x1) * v1 & v0 + v1)) + (-0x1) * v1	(v0) + (v1)	(v0) + (v1)	v0 + v1
loki_tiny.csv	2929	p9l	p9l_base	required_p9l_loki_tiny_csv_2929	diagnostic_p9l_base_loki_tiny_csv_2929	90	22	22	3	3	c34a655a2ba5cefd	a579aa5fdee94edb	a579aa5fdee94edb	536a9b6c358c7562	536a9b6c358c7562	5fbf3ec73346792e	279dd53eecf50f64	~ ((-0x1) * v0 + ~ (~ (v0 | ~ v0) | ((~ (v0 | ~ v0) & v1 | v1) | v1)) & ((-0x1) * v0 + ~ (~ (v0 | ~ v0) | ((~ (v0 | ~ v0) & v1 | v1) | v1)) & (-0x1) * ((-0x1) * v0 + ~ (~ (v0 | ~ v0) | ((~ (v0 | ~ v0) & v1 | v1) | v1)) & (-0x1) * ((-0x1) * v0 + ~ (~ (v0 | ~ v0) | ((~ (v0 | ~ v0) & v1 | v1) | v1))))))	(-0x1) + (-0x1) * ((-0x1) * (v0 + v1 + 0x1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1) & (-0x1) + (-0x1) * v0 + (-0x1) * v1)	(-0x1) + (-0x1) * ((-0x1) * (v0 + v1 + 0x1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1) & (-0x1) + (-0x1) * v0 + (-0x1) * v1)	v0 + v1	v0 + v1
loki_tiny.csv	3312	p9l	p9l_base	required_p9l_loki_tiny_csv_3312	diagnostic_p9l_base_loki_tiny_csv_3312	43	18	18	3	3	5c2a12e11418d78a	3c75bc9ca19eeef4	3c75bc9ca19eeef4	536a9b6c358c7562	536a9b6c358c7562	b1f25029beecf8b5	40657d66161196d7	(v0 | ~ v0) ^ ~ (~ ((-0x1) * ~ (~ ((v0 & ~ v0) + (v0 + v1 | v1) | (v0 + v1 | v1)) | ~ (v0 + v1)) & (v0 + v1) + (v0 + v1)) & v0 + v1)	v0 + v1 + (-0x1) * (v0 + v1 & 0x2 * v0 + 0x2 * v1 & (-0x1) * v0 + (-0x1) * v1)	v0 + v1 + (-0x1) * (v0 + v1 & 0x2 * v0 + 0x2 * v1 & (-0x1) * v0 + (-0x1) * v1)	v0 + v1	v0 + v1
loki_tiny.csv	3424	p9l	p9l_base	required_p9l_loki_tiny_csv_3424	diagnostic_p9l_base_loki_tiny_csv_3424	31	16	16	3	3	2d804cc05e4bf49d	4bd336b6e4d4bbec	4bd336b6e4d4bbec	536a9b6c358c7562	536a9b6c358c7562	7a2920d68bbee2d0	eac83fff09c472a7	(-0x1) * (v0 ^ (v0 ^ ((-0x1) * v0 ^ ((-0x1) * v0 ^ (-0x1) * v0 + ~ (~ ((-0x1) * v1) | v1 & (v1 ^ ~ (v1 ^ ~ v1 + (-0x1) * v1)))))))	v0 + v1 + (-0x1) * (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1)	v0 + v1 + (-0x1) * (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1)	v0 + v1	v0 + v1
loki_tiny.csv	3894	p9l	p9l_base	required_p9l_loki_tiny_csv_3894	diagnostic_p9l_base_loki_tiny_csv_3894	81	13	13	3	3	2aaa2388af75a554	bbca1d7dfeb0a104	bbca1d7dfeb0a104	536a9b6c358c7562	536a9b6c358c7562	0681592326a1badb	8209d73fa740e88b	v0 + ((-0x1) * v0 + (~ (~ (~ (~ ((-0x1) * v0 | (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) + (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) ^ (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) ^ ~ ((~ (~ (~ ((-0x1) * v0 | (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) + (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) ^ (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) | (-0x1) * ((-0x1) * v0 + (-0x1) * v1)) ^ (-0x1) * ((-0x1) * v0 + (-0x1) * v1))) ^ (-0x1) * ((-0x1) * v0 + (-0x1) * v1)))	v0 + v1 & v0 + (-0x1) + ((-0x1) * v0 & v0 + v1)	v0 + v1 & v0 + (-0x1) + ((-0x1) * v0 & v0 + v1)	v0 + v1	v0 + v1
