suite	id	result	method
structured_bridge	structured_bridge_qsynth_ea_csv_125	UNSAT	direct
structured_bridge	structured_bridge_qsynth_ea_csv_13	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_134	UNSAT	direct
structured_bridge	structured_bridge_qsynth_ea_csv_139	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_210	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_234	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_249	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_25	UNSAT	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_260	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_294	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_369	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_392	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_423	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_481	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_486	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_53	UNKNOWN	bit-fallback
structured_bridge	structured_bridge_qsynth_ea_csv_77	UNSAT	bit-fallback
