dataset	line	result	bridge_result	lemmas	unsat	sat	unknown
qsynth_ea.csv	13	UNKNOWN	UNKNOWN	24	23	0	1
qsynth_ea.csv	25	UNSAT	UNSAT	21	21	0	0
qsynth_ea.csv	53	UNKNOWN	UNKNOWN	19	17	0	2
qsynth_ea.csv	77	UNSAT	UNSAT	27	27	0	0
qsynth_ea.csv	125	UNSAT	UNSAT	25	25	0	0
qsynth_ea.csv	134	UNKNOWN	UNSAT	25	23	0	2
qsynth_ea.csv	139	UNKNOWN	UNKNOWN	19	17	0	2
qsynth_ea.csv	210	UNKNOWN	UNKNOWN	22	20	0	2
qsynth_ea.csv	234	UNKNOWN	UNKNOWN	19	17	0	2
qsynth_ea.csv	249	UNKNOWN	UNKNOWN	28	25	0	3
qsynth_ea.csv	260	UNKNOWN	UNKNOWN	28	25	0	3
qsynth_ea.csv	294	UNKNOWN	UNKNOWN	15	14	0	1
qsynth_ea.csv	369	UNKNOWN	UNKNOWN	18	16	0	2
qsynth_ea.csv	392	UNKNOWN	UNKNOWN	25	25	0	0
qsynth_ea.csv	423	UNKNOWN	UNKNOWN	16	15	0	1
qsynth_ea.csv	481	UNKNOWN	UNKNOWN	13	12	0	1
qsynth_ea.csv	486	UNKNOWN	UNKNOWN	13	12	0	1
