suite	id	result	method
structured_lemma	structured_lemma_qsynth_ea_csv_125_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_15	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_16	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_18	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_19	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_20	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_21	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_22	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_23	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_24	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_125_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_15	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_134_16	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_18	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_19	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_20	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_21	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_22	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_134_23	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_24	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_134_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_139_0	UNKNOWN	bit-fallback
