# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 38289236860
#
# Children      Self  Command     Shared Object     Symbol                                                                                                                                                                                                                                               
# ........  ........  ..........  ................  .....................................................................................................................................................................................................................................................
#
    72.29%     0.09%  loki_probe  loki_probe        [.] rumba_core::simplify::simplify_mba
    69.55%     0.05%  loki_probe  loki_probe        [.] loki_probe::main
    66.04%     0.47%  loki_probe  loki_probe        [.] rumba_core::simplify::MBASolver<C>::solve
    63.19%     0.12%  loki_probe  loki_probe        [.] rumba_core::simplify::simplify_mba_inner
    61.03%     0.00%  loki_probe  loki_probe        [.] std::sys::backtrace::__rust_begin_short_backtrace
    60.84%     0.00%  loki_probe  loki_probe        [.] std::rt::lang_start::{{closure}}
    60.69%     0.00%  loki_probe  loki_probe        [.] std::rt::lang_start_internal
    60.13%     0.00%  loki_probe  loki_probe        [.] main
    59.98%     0.00%  loki_probe  libc.so.6         [.] __libc_start_call_main
    58.64%     0.00%  loki_probe  libc.so.6         [.] __libc_start_main@@GLIBC_2.34
    57.68%     0.00%  loki_probe  loki_probe        [.] _start
    45.27%     1.12%  loki_probe  loki_probe        [.] rumba_core::simplify::MBASolver<C>::make_bitwise
    43.73%     0.62%  loki_probe  loki_probe        [.] rumba_core::expr::Expr::try_map
    39.86%     0.45%  loki_probe  loki_probe        [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
    35.88%    12.55%  loki_probe  loki_probe        [.] rumba_core::reduce::Reducer::reduce_masked
    35.87%     0.06%  loki_probe  loki_probe        [.] alloc::vec::in_place_collect::from_iter_in_place
    35.84%     0.20%  loki_probe  loki_probe        [.] core::iter::adapters::try_process
    35.57%     0.22%  loki_probe  loki_probe        [.] rumba_core::simplify::MBASolver<C>::make_product
    31.94%     0.06%  loki_probe  loki_probe        [.] alloc::vec::in_place_collect::from_iter_in_place
    31.88%     0.12%  loki_probe  loki_probe        [.] core::iter::adapters::try_process
    31.38%     0.07%  loki_probe  loki_probe        [.] rumba_core::simplify::MBASolver<C>::hide_in_var
    28.92%     3.05%  loki_probe  loki_probe        [.] alloc::vec::in_place_collect::from_iter_in_place
    20.21%     3.10%  loki_probe  loki_probe        [.] rumba_core::reduce::Reducer::reduce_and
    18.79%     0.12%  loki_probe  loki_probe        [.] rumba_core::expr::Expr::try_map
    15.98%     0.07%  loki_probe  loki_probe        [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
    15.92%     0.03%  loki_probe  loki_probe        [.] alloc::vec::in_place_collect::from_iter_in_place
    15.87%     0.08%  loki_probe  loki_probe        [.] core::iter::adapters::try_process
    15.48%     0.08%  loki_probe  loki_probe        [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
    15.28%     0.01%  loki_probe  loki_probe        [.] alloc::vec::in_place_collect::from_iter_in_place
    15.24%     0.70%  loki_probe  loki_probe        [.] rumba_core::simplify::MBASolver<C>::solve_linear
    15.17%     0.06%  loki_probe  loki_probe        [.] core::iter::adapters::try_process
    15.10%     0.18%  loki_probe  loki_probe        [.] rumba_core::expr::Expr::try_map
    13.51%     0.62%  loki_probe  loki_probe        [.] rumba_core::simplify::projector_defect::close
    12.83%     1.31%  loki_probe  loki_probe        [.] rumba_core::reduce::Reducer::reduce_xor
    12.43%     0.16%  loki_probe  loki_probe        [.] rumba_core::simplify::hidden_gauge::intern
    10.87%     0.52%  loki_probe  loki_probe        [.] rumba_core::simplify::MBASolver<C>::is_linear_bitwise
     7.95%     0.15%  loki_probe  loki_probe        [.] rumba_core::expr::Expr::try_map
     7.71%     0.71%  loki_probe  loki_probe        [.] rumba_core::expr::Expr::truth_table_masked
     7.57%     2.71%  loki_probe  loki_probe        [.] <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     6.66%     4.98%  loki_probe  loki_probe        [.] core::ptr::drop_in_place<rumba_core::expr::Expr>
     6.45%     6.44%  loki_probe  loki_probe        [.] rumba_core::expr::Expr::eval_bits
     6.42%     1.12%  loki_probe  loki_probe        [.] rumba_core::simplify::reduce_vars
     6.30%     1.02%  loki_probe  loki_probe        [.] rumba_core::expr::Expr::map
     6.13%     6.13%  loki_probe  libc.so.6         [.] malloc
     5.81%     2.25%  loki_probe  loki_probe        [.] <rumba_core::expr::Expr as core::clone::Clone>::clone
     5.39%     1.03%  loki_probe  loki_probe        [.] alloc::vec::in_place_collect::from_iter_in_place
     4.80%     0.06%  loki_probe  loki_probe        [.] rumba_core::expr::Expr::try_map
     4.75%     0.30%  loki_probe  loki_probe        [.] <rumba_core::expr::Expr as core::clone::Clone>::clone
     4.73%     0.77%  loki_probe  loki_probe        [.] rumba_core::simplify::projector_defect::literal_indexes
     4.33%     4.33%  loki_probe  libc.so.6         [.] cfree@GLIBC_2.2.5
     4.03%     0.39%  loki_probe  loki_probe        [.] rumba_core::simplify::hidden_gauge::canonicalize
     3.62%     0.68%  loki_probe  loki_probe        [.] core::ptr::drop_in_place<rumba_core::expr::Expr>
     3.56%     0.43%  loki_probe  loki_probe        [.] core::hash::BuildHasher::hash_one
     3.21%     0.19%  loki_probe  loki_probe        [.] rumba_core::simplify::merge_hidden::make_signature_samples
     3.11%     1.31%  loki_probe  loki_probe        [.] rumba_core::reduce::Reducer::group_terms
     2.92%     1.17%  loki_probe  loki_probe        [.] <rumba_core::expr::Expr as core::hash::Hash>::hash
     2.72%     1.16%  loki_probe  loki_probe        [.] core::slice::sort::shared::smallsort::insertion_sort_shift_left
     2.63%     2.19%  loki_probe  libc.so.6         [.] _int_malloc
     2.56%     0.05%  loki_probe  loki_probe        [.] <rumba_core::utils::cache::LocalCache as rumba_core::utils::cache::LinearCache>::insert
     2.51%     0.13%  loki_probe  loki_probe        [.] hashbrown::map::HashMap<K,V,S,A>::insert
     2.43%     1.39%  loki_probe  libc.so.6         [.] _int_free_chunk
     2.33%     0.23%  loki_probe  loki_probe        [.] <rumba_core::utils::cache::LocalCache as rumba_core::utils::cache::LinearCache>::get
     2.20%     0.19%  loki_probe  loki_probe        [.] rumba_core::simplify::projector_defect::term_map
     2.19%     0.21%  loki_probe  loki_probe        [.] alloc::raw_vec::RawVecInner<A>::finish_grow
     2.16%     1.09%  loki_probe  loki_probe        [.] rumba_core::expr::Expr::get_vars::collect
     2.06%     0.39%  loki_probe  libc.so.6         [.] __libc_malloc2
     2.05%     0.33%  loki_probe  libc.so.6         [.] realloc
     2.01%     2.01%  loki_probe  loki_probe        [.] __rustc::__rdl_dealloc


#
# (Tip: To record callchains for each sample: perf record -g)
#
