case,nodes,variables,median_seconds
qsynth_ea:1,90,2,0.000121929
qsynth_ea:2,147,3,0.000118119
qsynth_ea:3,197,2,0.000176220
qsynth_ea:4,148,3,0.000598518
qsynth_ea:5,88,2,0.000019420
qsynth_ea:6,65,2,0.000089939
qsynth_ea:7,83,2,0.000048740
qsynth_ea:8,245,2,0.000211989
qsynth_ea:9,153,3,0.000085940
qsynth_ea:10,1293,2,0.001310455
qsynth_ea:11,65,2,0.000064790
qsynth_ea:12,711,2,0.000424508
qsynth_ea:13,539,2,0.001462435
qsynth_ea:14,118,2,0.000082649
qsynth_ea:15,115,2,0.000038770
qsynth_ea:16,226,3,0.000669328
qsynth_ea:17,99,3,0.000091579
qsynth_ea:18,52,3,0.000048760
qsynth_ea:19,319,2,0.000410359
qsynth_ea:20,167,3,0.000430758
qsynth_ea:21,111,2,0.000072190
qsynth_ea:22,210,3,0.001768584
qsynth_ea:23,353,3,0.000349679
qsynth_ea:24,123,3,0.000115629
qsynth_ea:25,179,2,0.000220989
qsynth_ea:26,381,3,0.001832424
qsynth_ea:27,1081,3,0.000472788
qsynth_ea:28,141,3,0.000263659
qsynth_ea:29,32,3,0.000041590
qsynth_ea:30,97,2,0.000213019
qsynth_ea:31,441,3,0.000300579
qsynth_ea:32,55,2,0.000182760
qsynth_ea:33,564,2,0.000254679
qsynth_ea:34,1581,3,0.015101097
qsynth_ea:35,71,2,0.000046040
qsynth_ea:36,22,2,0.000037340
qsynth_ea:37,105,3,0.000283279
qsynth_ea:38,175,2,0.000215199
qsynth_ea:39,101,2,0.000033110
qsynth_ea:40,118,2,0.000077040
qsynth_ea:41,300,3,0.001065666
qsynth_ea:42,54,1,0.000052900
qsynth_ea:43,1097,3,0.002763499
qsynth_ea:44,81,2,0.000023360
qsynth_ea:45,428,3,0.000200950
qsynth_ea:46,93,3,0.000159239
qsynth_ea:47,187,3,0.000584168
qsynth_ea:48,75,3,0.000268809
qsynth_ea:49,693,3,0.000967646
qsynth_ea:50,101,3,0.000381629
qsynth_ea:51,94,3,0.000636657
qsynth_ea:52,159,2,0.000133850
qsynth_ea:53,505,3,0.002001443
qsynth_ea:54,415,3,0.000449939
qsynth_ea:55,213,3,0.000408638
qsynth_ea:56,522,3,0.001186866
qsynth_ea:57,945,2,0.001689405
qsynth_ea:58,81,3,0.000073560
qsynth_ea:59,445,2,0.000189580
qsynth_ea:60,165,2,0.000092360
qsynth_ea:61,237,3,0.000253369
qsynth_ea:62,411,3,0.001310836
qsynth_ea:63,56,2,0.000045020
qsynth_ea:64,46,2,0.000032710
qsynth_ea:65,336,3,0.000793138
qsynth_ea:66,811,2,0.001581784
qsynth_ea:67,248,3,0.000282789
qsynth_ea:68,41,2,0.000038290
qsynth_ea:69,51,2,0.000041449
qsynth_ea:70,141,2,0.000148510
qsynth_ea:71,657,2,0.001539894
qsynth_ea:72,36,2,0.000013390
qsynth_ea:73,34,1,0.000007090
qsynth_ea:74,166,2,0.000630048
qsynth_ea:75,579,3,0.000255250
qsynth_ea:76,22,1,0.000023330
