case,nodes,variables,median_seconds
qsynth_ea:1,90,2,0.000127190
qsynth_ea:2,147,3,0.000128919
qsynth_ea:3,197,2,0.000199300
qsynth_ea:4,148,3,0.000646017
qsynth_ea:5,88,2,0.000020209
qsynth_ea:6,65,2,0.000092110
qsynth_ea:7,83,2,0.000048999
qsynth_ea:8,245,2,0.000246959
qsynth_ea:9,153,3,0.000097900
qsynth_ea:10,1293,2,0.001361985
qsynth_ea:11,65,2,0.000065390
qsynth_ea:12,711,2,0.000470218
qsynth_ea:13,539,2,0.001611215
qsynth_ea:14,118,2,0.000082930
qsynth_ea:15,115,2,0.000039389
qsynth_ea:16,226,3,0.000780547
qsynth_ea:17,99,3,0.000096079
qsynth_ea:18,52,3,0.000049209
qsynth_ea:19,319,2,0.000434999
qsynth_ea:20,167,3,0.000432219
qsynth_ea:21,111,2,0.000079410
qsynth_ea:22,210,3,0.002056983
qsynth_ea:23,353,3,0.000364079
qsynth_ea:24,123,3,0.000121520
qsynth_ea:25,179,2,0.000225010
qsynth_ea:26,381,3,0.002099593
qsynth_ea:27,1081,3,0.000562508
qsynth_ea:28,141,3,0.000338819
qsynth_ea:29,32,3,0.000045590
qsynth_ea:30,97,2,0.000249719
qsynth_ea:31,441,3,0.000343559
qsynth_ea:32,55,2,0.000210499
qsynth_ea:33,564,2,0.000241359
qsynth_ea:34,1581,3,0.029078969
qsynth_ea:35,71,2,0.000048600
qsynth_ea:36,22,2,0.000037350
qsynth_ea:37,105,3,0.000346128
qsynth_ea:38,175,2,0.000235510
qsynth_ea:39,101,2,0.000032770
qsynth_ea:40,118,2,0.000078980
qsynth_ea:41,300,3,0.001208706
qsynth_ea:42,54,1,0.000052900
qsynth_ea:43,1097,3,0.003001380
qsynth_ea:44,81,2,0.000023930
qsynth_ea:45,428,3,0.000210160
qsynth_ea:46,93,3,0.000170260
qsynth_ea:47,187,3,0.000647188
qsynth_ea:48,75,3,0.000337579
qsynth_ea:49,693,3,0.001207166
qsynth_ea:50,101,3,0.000427458
qsynth_ea:51,94,3,0.000694158
qsynth_ea:52,159,2,0.000140239
qsynth_ea:53,505,3,0.002054833
qsynth_ea:54,415,3,0.000488829
qsynth_ea:55,213,3,0.000448208
qsynth_ea:56,522,3,0.001336215
qsynth_ea:57,945,2,0.001814483
qsynth_ea:58,81,3,0.000073179
qsynth_ea:59,445,2,0.000202639
qsynth_ea:60,165,2,0.000095000
qsynth_ea:61,237,3,0.000322409
qsynth_ea:62,411,3,0.001522164
qsynth_ea:63,56,2,0.000048950
qsynth_ea:64,46,2,0.000033900
qsynth_ea:65,336,3,0.000907227
qsynth_ea:66,811,2,0.001599425
qsynth_ea:67,248,3,0.000355629
qsynth_ea:68,41,2,0.000041720
qsynth_ea:69,51,2,0.000044010
qsynth_ea:70,141,2,0.000152520
qsynth_ea:71,657,2,0.001595224
qsynth_ea:72,36,2,0.000014300
qsynth_ea:73,34,1,0.000007170
qsynth_ea:74,166,2,0.000690248
qsynth_ea:75,579,3,0.000260479
qsynth_ea:76,22,1,0.000022930
qsynth_ea:77,136,2,0.000170829
qsynth_ea:78,271,3,0.000308219
qsynth_ea:79,72,2,0.000019070
qsynth_ea:80,121,2,0.000066640
qsynth_ea:81,139,2,0.000117780
qsynth_ea:82,65,2,0.000035260
qsynth_ea:83,386,2,0.000143410
qsynth_ea:84,45,2,0.000054169
qsynth_ea:85,62,2,0.000038060
qsynth_ea:86,207,2,0.000656928
qsynth_ea:87,545,3,0.005815070
qsynth_ea:88,156,3,0.000173549
qsynth_ea:89,159,2,0.000221019
qsynth_ea:90,88,2,0.000128029
qsynth_ea:91,72,2,0.000089049
qsynth_ea:92,134,3,0.000112710
qsynth_ea:93,85,2,0.000210179
qsynth_ea:94,137,3,0.000192989
qsynth_ea:95,263,2,0.000211320
qsynth_ea:96,27,3,0.000029280
qsynth_ea:97,132,2,0.000026610
qsynth_ea:98,369,3,0.000663237
qsynth_ea:99,146,3,0.000151399
qsynth_ea:100,653,3,0.000175719
qsynth_ea:101,428,2,0.006451268
qsynth_ea:102,104,2,0.000078360
qsynth_ea:103,37,1,0.000028840
qsynth_ea:104,44,2,0.000247450
qsynth_ea:105,814,3,0.003272828
qsynth_ea:106,302,2,0.004071595
qsynth_ea:107,259,2,0.000803627
qsynth_ea:108,160,2,0.000802898
qsynth_ea:109,224,3,0.000121730
qsynth_ea:110,52,2,0.000078370
qsynth_ea:111,509,2,0.001078066
qsynth_ea:112,121,3,0.000087930
qsynth_ea:113,41,2,0.000066330
qsynth_ea:114,147,2,0.000177559
qsynth_ea:115,233,2,0.000533688
qsynth_ea:116,75,2,0.000020140
qsynth_ea:117,40,2,0.000100470
qsynth_ea:118,392,3,0.001232506
qsynth_ea:119,1267,2,0.000440969
qsynth_ea:120,86,3,0.000264119
qsynth_ea:121,91,2,0.000063469
qsynth_ea:122,132,2,0.000102070
qsynth_ea:123,52,2,0.000010300
qsynth_ea:124,395,3,0.001416275
qsynth_ea:125,211,3,0.000394379
qsynth_ea:126,90,2,0.000085360
qsynth_ea:127,170,2,0.000528338
qsynth_ea:128,117,1,0.000073240
qsynth_ea:129,45,2,0.000041270
qsynth_ea:130,76,3,0.000167729
qsynth_ea:131,1049,2,0.000342019
qsynth_ea:132,100,2,0.000264799
qsynth_ea:133,16,2,0.000029120
qsynth_ea:134,209,2,0.000439609
qsynth_ea:135,349,2,0.000439708
qsynth_ea:136,98,2,0.000300979
qsynth_ea:137,261,3,0.000527869
qsynth_ea:138,55,2,0.000114760
qsynth_ea:139,190,3,0.000328819
qsynth_ea:140,410,2,0.001460465
qsynth_ea:141,236,2,0.000409859
qsynth_ea:142,72,3,0.000089719
qsynth_ea:143,249,3,0.000347969
qsynth_ea:144,156,2,0.000252649
qsynth_ea:145,173,2,0.000345759
qsynth_ea:146,32,2,0.000060650
qsynth_ea:147,143,2,0.000194109
qsynth_ea:148,353,3,0.000995036
qsynth_ea:149,254,2,0.000910337
qsynth_ea:150,262,3,0.000335199
qsynth_ea:151,690,2,0.000719538
qsynth_ea:152,143,2,0.000056330
qsynth_ea:153,621,2,0.004391845
qsynth_ea:154,230,3,0.002079373
qsynth_ea:155,140,2,0.000037690
qsynth_ea:156,327,3,0.000358789
qsynth_ea:157,114,2,0.000263899
qsynth_ea:158,143,2,0.000693428
qsynth_ea:159,138,3,0.000200609
qsynth_ea:160,90,3,0.000089490
qsynth_ea:161,341,2,0.004151146
qsynth_ea:162,24,2,0.000015200
qsynth_ea:163,1925,2,0.003098810
qsynth_ea:164,334,2,0.000458148
qsynth_ea:165,370,2,0.001737644
qsynth_ea:166,419,3,0.000175599
qsynth_ea:167,87,3,0.000613147
qsynth_ea:168,211,2,0.000926007
qsynth_ea:169,510,3,0.000528718
qsynth_ea:170,560,2,0.000116609
qsynth_ea:171,92,2,0.000048550
qsynth_ea:172,259,2,0.000103269
qsynth_ea:173,232,2,0.000328149
qsynth_ea:174,111,3,0.000448959
qsynth_ea:175,1037,3,0.001089216
qsynth_ea:176,166,3,0.000512899
qsynth_ea:177,220,2,0.000232359
qsynth_ea:178,48,2,0.000034500
qsynth_ea:179,48,3,0.000053659
qsynth_ea:180,473,3,0.002938331
qsynth_ea:181,70,2,0.000082779
qsynth_ea:182,47,2,0.000051250
qsynth_ea:183,161,3,0.000684348
qsynth_ea:184,38,2,0.000028050
qsynth_ea:185,171,2,0.000170309
qsynth_ea:186,861,3,0.008617119
qsynth_ea:187,1188,2,0.000321129
qsynth_ea:188,325,3,0.000862027
qsynth_ea:189,196,3,0.000245649
qsynth_ea:190,51,1,0.000016890
qsynth_ea:191,41,2,0.000116690
qsynth_ea:192,53,3,0.000033239
qsynth_ea:193,504,2,0.001013087
qsynth_ea:194,459,3,0.001537895
qsynth_ea:195,186,3,0.000428858
qsynth_ea:196,416,2,0.000304209
