# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 17023721128
#
# Children      Self  Command        Shared Object     Symbol                                                                                                                                                                                                                                               
# ........  ........  .............  ................  .....................................................................................................................................................................................................................................................
#
    83.24%     0.33%  current-probe  current-probe     [.] rumba_core::simplify::MBASolver<C>::solve
    74.22%     0.02%  current-probe  current-probe     [.] rumba_core::simplify::simplify_mba_inner
    73.15%     0.33%  current-probe  current-probe     [.] rumba_core::simplify::MBASolver<C>::make_bitwise
    69.53%     0.00%  current-probe  current-probe     [.] rumba_core::simplify::MBASolver<C>::hide_in_var
    68.63%     0.05%  current-probe  current-probe     [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
    61.71%     0.00%  current-probe  current-probe     [.] rumba_core::simplify::MBASolver<C>::make_product
    54.87%     0.14%  current-probe  current-probe     [.] rumba_core::expr::Expr::try_map
    50.10%     0.02%  current-probe  current-probe     [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
    49.08%     0.02%  current-probe  current-probe     [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
    49.05%     0.02%  current-probe  current-probe     [.] alloc::vec::in_place_collect::from_iter_in_place
    48.91%     0.02%  current-probe  current-probe     [.] alloc::vec::in_place_collect::from_iter_in_place
    48.77%     0.09%  current-probe  current-probe     [.] core::iter::adapters::try_process
    48.74%     0.07%  current-probe  current-probe     [.] rumba_core::expr::Expr::try_map
    48.04%     0.05%  current-probe  current-probe     [.] core::iter::adapters::try_process
    46.85%     0.09%  current-probe  current-probe     [.] rumba_core::expr::Expr::try_map
    45.28%     0.00%  current-probe  current-probe     [.] rumba_core::simplify::simplify_mba
    41.96%     0.07%  current-probe  current-probe     [.] alloc::vec::in_place_collect::from_iter_in_place
    41.75%     0.07%  current-probe  current-probe     [.] core::iter::adapters::try_process
    41.73%    14.20%  current-probe  current-probe     [.] rumba_core::reduce::Reducer::reduce_masked
    41.67%     0.00%  current-probe  current-probe     [.] qsynth_probe::main
    38.58%     0.00%  current-probe  current-probe     [.] alloc::vec::in_place_collect::from_iter_in_place
    38.44%     0.02%  current-probe  current-probe     [.] core::iter::adapters::try_process
    38.07%     0.14%  current-probe  current-probe     [.] rumba_core::simplify::hidden_gauge::intern
    32.51%     0.00%  current-probe  current-probe     [.] std::sys::backtrace::__rust_begin_short_backtrace
    32.44%     0.00%  current-probe  current-probe     [.] std::rt::lang_start::{{closure}}
    32.34%     0.00%  current-probe  current-probe     [.] std::rt::lang_start_internal
    31.82%     0.00%  current-probe  current-probe     [.] main
    31.72%     0.00%  current-probe  libc.so.6         [.] __libc_start_call_main
    30.62%     5.15%  current-probe  current-probe     [.] alloc::vec::in_place_collect::from_iter_in_place
    30.28%     0.00%  current-probe  libc.so.6         [.] __libc_start_main@@GLIBC_2.34
    29.83%     0.00%  current-probe  current-probe     [.] _start
    27.67%     0.10%  current-probe  current-probe     [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
    27.07%     0.00%  current-probe  current-probe     [.] alloc::vec::in_place_collect::from_iter_in_place
    26.79%     0.10%  current-probe  current-probe     [.] core::iter::adapters::try_process
    26.33%     0.05%  current-probe  current-probe     [.] rumba_core::expr::Expr::try_map
    19.94%     0.02%  current-probe  current-probe     [.] rumba_core::expr::Expr::try_map
    18.56%     0.50%  current-probe  current-probe     [.] rumba_core::simplify::hidden_gauge::canonicalize
    18.20%     0.34%  current-probe  current-probe     [.] rumba_core::simplify::MBASolver<C>::solve_linear
    17.65%     5.90%  current-probe  current-probe     [.] rumba_core::reduce::Reducer::reduce_and
    15.95%     0.05%  current-probe  current-probe     [.] rumba_core::expr::Expr::try_map
    14.78%     0.48%  current-probe  current-probe     [.] rumba_core::expr::Expr::truth_table_masked
    14.53%    14.53%  current-probe  current-probe     [.] rumba_core::expr::Expr::eval_bits
    11.98%     0.31%  current-probe  current-probe     [.] rumba_core::expr::Expr::map
