dataset,line,input,expected,remaining_expression,first_blocker
"loki_tiny.csv",2929,"(~ (((- v0) + (~ ((~ (v0 | (~ v0))) | ((((~ (v0 | (~ v0))) & v1) | v1) | v1)))) & (((- v0) + (~ ((~ (v0 | (~ v0))) | ((((~ (v0 | (~ v0))) & v1) | v1) | v1)))) & (- (((- v0) + (~ ((~ (v0 | (~ v0))) | ((((~ (v0 | (~ v0))) & v1) | v1) | v1)))) & (- ((- v0) + (~ ((~ (v0 | (~ v0))) | ((((~ (v0 | (~ v0))) & v1) | v1) | v1))))))))))","v0 + v1","0x1 + (v0) + (v1) + ((-0x1) * (v0 + v1 + 0x1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1) & (-0x1) + (-0x1) * v0 + (-0x1) * v1)","AnchorProvedNoUse"
"loki_tiny.csv",3312,"((v0 | (~ v0)) ^ (~ ((~ ((- (~ ((~ (((v0 & (~ v0)) + ((v0 + v1) | v1)) | ((v0 + v1) | v1))) | (~ (v0 + v1))))) & ((v0 + v1) + (v0 + v1)))) & (v0 + v1))))","v0 + v1","v0 + v1 & 0x2 * v0 + 0x2 * v1 & (-0x1) * v0 + (-0x1) * v1","AboveLowUnknown"
"loki_tiny.csv",3424,"(- (v0 ^ (v0 ^ ((- v0) ^ ((- v0) ^ ((- v0) + (~ ((~ (- v1)) | (v1 & (v1 ^ (~ (v1 ^ ((~ v1) + (- v1))))))))))))))","v0 + v1","(-0x1) * (v1 & (-0x1) * v1) + (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1)","AboveLowUnknown"
"loki_tiny.csv",3894,"(v0 + ((- v0) + ((~ ((~ ((~ ((~ ((- v0) | (- ((- v0) + (- v1))))) + (- ((- v0) + (- v1))))) ^ (- ((- v0) + (- v1))))) ^ (~ (((~ ((~ ((~ ((- v0) | (- ((- v0) + (- v1))))) + (- ((- v0) + (- v1))))) ^ (- ((- v0) + (- v1))))) | (- ((- v0) + (- v1)))) ^ (- ((- v0) + (- v1))))))) ^ (- ((- v0) + (- v1))))))","v0 + v1","(v0) + (v1) + (-0x1) * (v0 + v1 & v0 + (-0x1) + ((-0x1) * v0 & v0 + v1))","NoLowBitCandidate"
"loki_tiny.csv",4087,"(~ ((((~ (v0 | (~ v0))) ^ ((v0 + (~ ((~ (v0 & v1)) & (~ v1)))) + (~ (v0 + (~ ((~ (v0 & v1)) & (~ v1))))))) + (- (v0 + ((~ (v0 ^ (~ v0))) | (~ ((~ (v0 & v1)) & (~ v1))))))) | ((((~ (v0 | (~ v0))) ^ ((v0 + (~ ((~ (v0 & v1)) & (~ v1)))) + (~ (v0 + (~ ((~ (v0 & v1)) & (~ v1))))))) + (- (v0 + ((~ (v0 ^ (~ v0))) | (~ ((~ (v0 & v1)) & (~ v1))))))) + (- ((((~ (v0 | (~ v0))) ^ ((v0 + (~ ((~ (v0 & v1)) & (~ v1)))) + (~ (v0 + (~ ((~ (v0 & v1)) & (~ v1))))))) + (- (v0 + ((~ (v0 ^ (~ v0))) | (~ ((~ (v0 & v1)) & (~ v1))))))) & ((((~ (v0 | (~ v0))) ^ ((v0 + (~ ((~ (v0 & v1)) & (~ v1)))) + (~ (v0 + (~ ((~ (v0 & v1)) & (~ v1))))))) + (- (v0 + ((~ (v0 ^ (~ v0))) | (~ ((~ (v0 & v1)) & (~ v1))))))) + (((~ (v0 | (~ v0))) ^ ((v0 + (~ ((~ (v0 & v1)) & (~ v1)))) + (~ (v0 + (~ ((~ (v0 & v1)) & (~ v1))))))) + (- (v0 + ((~ (v0 ^ (~ v0))) | (~ ((~ (v0 & v1)) & (~ v1)))))))))))))","v0 + v1","v0 + v1 & v0 + v1 + 0x1 + (v0 + v1 & (-0x2) + (-0x2) * v0 + (-0x2) * v1)","AnchorCandidateUnproved"
"loki_tiny.csv",4220,"((v0 & (((~ (v0 | (~ v0))) | (- ((- ((~ (((~ (v0 | (~ v0))) ^ (~ ((v0 | v1) & (~ ((- (v0 | v1)) & (- ((v0 | v1) + (v0 | v1)))))))) | (~ (v0 | v1)))) + (~ (v0 | v1)))) + (~ (v0 | v1))))) | v1)) + v1)","v0 + v1","(v0 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (-0x1) * (v0 & v1 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))","AnchorCandidateUnproved"
"loki_tiny.csv",4310,"(~ (((~ ((- (~ ((~ (v0 + (~ v0))) ^ ((~ ((v0 ^ (~ v0)) ^ ((v0 ^ (~ v0)) ^ (v0 ^ (~ (v0 ^ (~ v0))))))) + (- v1))))) & ((v0 ^ (v0 ^ (~ v0))) + ((- v1) | (~ (v1 | ((~ v1) + (- v1)))))))) & ((~ (v0 + (~ v0))) ^ ((v0 ^ (v0 ^ (~ v0))) + (- v1)))) | ((v0 ^ (v0 ^ (~ v0))) + ((- v1) | (~ (v1 | ((~ v1) + (- v1))))))))","v0 + v1","(-0x1) + (v1) + (-0x1) * (v0) + (v1 & (-0x1) * v1) + (v1 & (-0x1) + (-0x2) * v1) + ((-0x1) * v1 & (-0x1) + (-0x2) * v1) + (-0x1) * (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (-0x1) * (v1 + (-0x1) + (-0x1) * v0 + (-0x1) * (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1) + (v1 & (-0x1) + (-0x2) * v1) + ((-0x1) * v1 & (-0x1) + (-0x2) * v1) & (-0x1) + (-0x1) * v0 + (-0x1) * v1)","AboveLowUnknown"
"loki_tiny.csv",4549,"(- ((- v0) + (v0 + (~ ((~ ((((((v0 & (v0 | (v0 + v1))) & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)) + (- ((((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)) + (~ (- (((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1))))))) & ((- ((((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)) + (- ((((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)) + (~ (- (((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)))))))) + (- ((((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)) + (- ((((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)) + (~ (- (((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1))))))))))) & (- ((((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)) + (- ((((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)) + (~ (- (((v0 & (~ (v0 + v1))) ^ (v0 + v1)) & (v0 + v1)))))))))))))","v0 + v1","(0x1 + (-0x1) * v0 + (-0x1) * v1 & (-0x2) + 0x2 * v0 + 0x2 * v1) + (-0x1) * (0x1 + (-0x1) * v0 + (-0x1) * v1 & (-0x2) + 0x2 * v0 + 0x2 * v1 & (-0x1) * v0 + (-0x1) * v1)","NoLowBitCandidate"
"loki_tiny.csv",4583,"((~ ((~ (v0 + ((- ((v0 | ((~ (v0 | v1)) ^ v1)) + (- v1))) + v1))) & (~ ((v1 + (- (~ v1))) & (~ ((v1 + (- (~ v1))) & (- (~ (~ ((- (v1 + (- (~ v1)))) & (v1 + (~ (v1 + ((~ (- (~ v1))) + (- v1))))))))))))))) + (~ v1))","v0 + v1","(-0x1) + (-0x2) * (v1) + ((-0x1) * (0x1 + 0x2 * v1 & (-0x1) + (-0x2) * v1) & 0x1 + 0x2 * v1) + (v0 + 0x1 + 0x2 * v1 & 0x1 + 0x2 * v1) + (-0x1) * ((-0x1) * (0x1 + 0x2 * v1 & (-0x1) + (-0x2) * v1) & v0 + 0x1 + 0x2 * v1 & 0x1 + 0x2 * v1)","AnchorProvedNoUse"
"loki_tiny.csv",4752,"(((- ((- (~ (~ ((- ((~ ((- v0) + (~ v1))) ^ (~ (((- v0) + (~ v1)) & (~ ((- v0) + (~ v1))))))) | (- (v0 ^ (~ v0))))))) & (~ (~ ((- ((- v0) + (~ v1))) | (- (v0 ^ (v0 ^ (v0 ^ (~ v0)))))))))) & ((- ((- v0) + (~ v1))) & (~ (~ ((- ((- v0) + (~ v1))) | (- (v0 ^ (~ v0)))))))) + (v0 ^ (~ v0)))","v0 + v1","0x1 + (v0) + (v1) + (-0x1) * (v0 + v1 + 0x1 & 0x2 * (v0 & v1 & 0x1) + (-0x1) * (v0 & 0x1) + (-0x1) * (v1 & 0x1) + (-0x1) * (v0 + v1 + 0x1 & (-0x1) + 0x2 * (v0 & v1 & 0x1) + (-0x1) * v0 + (-0x1) * v1 + (-0x1) * (v0 & 0x1) + (-0x1) * (v1 & 0x1)))","AnchorCandidateUnproved"
